16,0,0,0,0,0,0,267.515,102.273,-32.2734,22.4853,30.1202,-8.63682,37.8103,-10.8419,45.5004,-13.047,-17,-0.296706,309.639,25.1423,44.8577,-19.6392,-40.8261,3.41309,-48.7983,4.07957,-56.7705,4.74605,16,90,113.541,62.482,17.9164,12.0158,3.44547
16.5,0,0,0,0,0,0,267.234,102.076,-32.076,22.7661,30.0437,-8.89934,37.7142,-11.1715,45.3848,-13.4436,-17,-0.296706,310.03,25.3154,44.6846,-20.0299,-40.7947,3.76923,-48.7608,4.50525,-56.7269,5.24128,16,90,119.192,62.3233,18.461,11.9852,3.55019
17,0,0,0,0,0,0,266.955,101.876,-31.8761,23.0452,29.9649,-9.16117,37.6153,-11.5001,45.2657,-13.8391,-17,-0.296706,310.419,25.4919,44.5081,-20.4191,-40.7603,4.12508,-48.7196,4.93059,-56.679,5.7361,16,90,125.476,62.1598,19.0042,11.9538,3.65465
17.5,0,0,0,0,0,0,266.678,101.674,-31.6737,23.3225,29.8838,-9.42232,37.5135,-11.828,45.1432,-14.2336,-17,-0.296706,310.807,25.6717,44.3283,-20.8067,-40.7227,4.48062,-48.6748,5.35556,-56.6268,6.2305,16,1.#QNAN,132.501,61.9916,19.5459,11.9215,3.75882
18,0,0,0,0,0,0,266.402,101.469,-31.469,23.598,29.8004,-9.68274,37.4089,-12.1549,45.0173,-14.627,-17,-0.296706,311.193,25.855,44.145,-21.1928,-40.6821,4.83582,-48.6262,5.78012,-56.5702,6.72442,16,90,140.404,61.8187,20.0861,11.8882,3.86271
18.5,0,0,0,0,0,0,266.128,101.262,-31.2619,23.8717,29.7148,-9.94242,37.3014,-12.4809,44.888,-15.0193,-17,-0.296706,311.577,26.0416,43.9584,-21.5772,-40.6383,5.19065,-48.5739,6.20423,-56.5094,7.21782,16,90,149.359,61.641,20.6248,11.854,3.96631
19,0,0,0,0,0,0,265.856,101.052,-31.0524,24.1436,29.6269,-10.2014,37.191,-12.8059,44.7552,-15.4104,-17,-0.296706,311.96,26.2316,43.7684,-21.96,-40.5915,5.54508,-48.5179,6.62788,-56.4443,7.71068,16,90,159.586,61.4587,21.1619,11.819,4.0696
19.5,0,0,0,0,0,0,265.586,100.841,-30.8405,24.4137,29.5367,-10.4595,37.0779,-13.13,44.619,-15.8004,-17,-0.296706,312.341,26.4249,43.5751,-22.3411,-40.5416,5.89909,-48.4582,7.05102,-56.3748,8.20295,16,1.#QNAN,171.372,61.2717,21.6974,11.783,4.17259
20,0,0,0,0,0,0,265.318,100.626,-30.6263,24.6819,29.4443,-10.7169,36.9619,-13.453,44.4794,-16.1892,-17,-0.296706,312.72,26.6215,43.3785,-22.7205,-40.4885,6.25266,-48.3948,7.47362,-56.3011,8.69459,16,90,185.099,61.08,22.2313,11.7462,4.27525
20.5,0,0,0,0,0,0,265.052,100.41,-30.4097,24.9482,29.3497,-10.9734,36.8431,-13.7751,44.3364,-16.5767,-17,-0.296706,313.098,26.8214,43.1786,-23.0982,-40.4324,6.60574,-48.3278,7.89566,-56.2231,9.18557,16,1.#QNAN,201.283,60.8837,22.7635,11.7084,4.37759
21,0,0,0,0,0,0,264.787,100.191,-30.1909,25.2126,29.2528,-11.2291,36.7215,-14.096,44.1901,-16.963,-17,-0.296706,313.474,27.0246,42.9754,-23.4741,-40.3733,6.95833,-48.257,8.31709,-56.1408,9.67586,16,90,220.642,60.6827,23.2939,11.6698,4.4796
21.5,0,0,0,0,0,0,264.525,99.9697,-29.9697,25.4751,29.1537,-11.4839,36.597,-14.416,44.0404,-17.348,-17,-0.296706,313.848,27.2311,42.7689,-23.8482,-40.311,7.31038,-48.1826,8.73789,-56.0542,10.1654,16,90,244.204,60.4771,23.8226,11.6302,4.58127
22,0,0,0,0,0,0,264.264,99.7462,-29.7462,25.7357,29.0524,-11.7379,36.4698,-14.7348,43.8873,-17.7316,-17,-0.296706,314.221,27.4409,42.5591,-24.2205,-40.2457,7.66188,-48.1045,9.15803,-55.9634,10.6542,16,90,273.492,60.267,24.3494,11.5898,4.68258
22.5,0,0,0,0,0,0,264.006,99.5205,-29.5205,25.9943,28.9488,-11.991,36.3399,-15.0525,43.7309,-18.1139,-17,-0.296706,314.591,27.6539,42.3461,-24.591,-40.1773,8.01279,-48.0228,9.57746,-55.8683,11.1421,16,90,310.871,60.0522,24.8744,11.5485,4.78354
23,0,0,0,0,0,0,263.749,99.2926,-29.2926,26.2509,28.8431,-12.2432,36.2071,-15.369,43.5712,-18.4949,-17,-0.296706,314.96,27.8701,42.1299,-24.9596,-40.1058,8.36309,-47.9374,9.99617,-55.7689,11.6292,16,90,360.211,59.8328,25.3975,11.5063,4.88414
23.5,0,0,0,0,0,0,263.494,99.0624,-29.0624,26.5055,28.7352,-12.4944,36.0716,-15.6844,43.4081,-18.8744,-17,-0.296706,315.326,28.0895,41.9105,-25.3263,-40.0313,8.71276,-47.8483,10.4141,-55.6653,12.1155,16,90,428.324,59.6089,25.9187,11.4633,4.98436
24,0,0,0,0,0,0,263.242,98.83,-28.83,26.7581,28.625,-12.7447,35.9334,-15.9986,43.2418,-19.2525,-17,-0.296706,315.691,28.3121,41.6879,-25.6911,-39.9538,9.06176,-47.7556,10.8313,-55.5574,12.6008,16,90,528.401,59.3805,26.4379,11.4193,5.08421
24.5,0,0,0,0,0,0,262.991,98.5954,-28.5954,27.0087,28.5127,-12.994,35.7924,-16.3115,43.0721,-19.6291,-17,-0.296706,316.054,28.5379,41.4621,-26.0539,-39.8732,9.41007,-47.6593,11.2476,-55.4454,13.0851,16,90,689.775,59.1475,26.9551,11.3745,5.18367
25,0,0,0,0,0,0,262.743,98.3586,-28.3586,27.2572,28.3982,-13.2423,35.6487,-16.6233,42.8992,-20.0042,-17,-0.296706,316.415,28.7668,41.2332,-26.4147,-39.7895,9.75767,-47.5593,11.6631,-55.3291,13.5685,16,90,993.492,58.91,27.4702,11.3288,5.28273
25.5,0,0,0,0,0,0,262.496,98.1196,-28.1196,27.5036,28.2816,-13.4896,35.5023,-16.9337,42.723,-20.3778,-17,-0.296706,316.774,28.9989,41.0011,-26.7735,-39.7028,10.1045,-47.4557,12.0777,-55.2086,14.0508,16,90,1776.05,58.668,27.9832,11.2823,5.38139
26,0,0,0,0,0,0,262.252,97.8786,-27.8786,27.748,28.1628,-13.7359,35.3532,-17.2429,42.5435,-20.7499,-17,-0.296706,317.13,29.2341,40.7659,-27.1303,-39.6132,10.4506,-47.3485,12.4913,-55.0838,14.532,16,90,8377.08,58.4216,28.4941,11.2349,5.47964
26.5,0,0,0,0,0,0,262.01,97.6354,-27.6354,27.9902,28.0419,-13.9812,35.2013,-17.5507,42.3608,-21.1203,-17,-0.296706,317.485,29.4724,40.5276,-27.485,-39.5205,10.7959,-47.2377,12.904,-54.9549,15.0122,16,1.#QNAN,-3083.21,58.1707,29.0029,11.1867,5.57747
27,0,0,0,0,0,0,261.77,97.39,-27.39,28.2303,27.9188,-14.2253,35.0469,-17.8573,42.1749,-21.4892,-17,-0.296706,317.838,29.7138,40.2862,-27.8376,-39.4247,11.1404,-47.1233,13.3158,-54.8218,15.4912,16,1.#QNAN,-1302.17,57.9154,29.5094,11.1376,5.67488
27.5,0,0,0,0,0,0,261.532,97.1426,-27.1426,28.4682,27.7936,-14.4684,34.8897,-18.1624,41.9858,-21.8564,-17,-0.296706,318.188,29.9582,40.0418,-28.1881,-39.326,11.484,-47.0053,13.7265,-54.6846,15.969,16,90,-825.54,57.6557,30.0137,11.0876,5.77186
28,0,0,0,0,0,0,261.296,96.8932,-26.8932,28.704,27.6663,-14.7104,34.7299,-18.4662,41.7934,-22.222,-17,-0.296706,318.536,30.2057,39.7943,-28.5365,-39.2243,11.8267,-46.8837,14.1361,-54.5431,16.4456,16,90,-604.472,57.3916,30.5157,11.0368,5.86839
28.5,0,0,0,0,0,0,261.062,96.6417,-26.6417,28.9376,27.5369,-14.9513,34.5674,-18.7686,41.5979,-22.5858,-17,-0.296706,318.883,30.4563,39.5437,-28.8827,-39.1196,12.1686,-46.7586,14.5447,-54.3975,16.9209,16,90,-476.907,57.1231,31.0153,10.9852,5.96448
29,0,0,0,0,0,0,260.831,96.3881,-26.3881,29.169,27.4053,-15.191,34.4023,-19.0695,41.3992,-22.948,-17,-0.296706,319.227,30.7098,39.2902,-29.2266,-39.0119,12.5095,-46.6299,14.9522,-54.2478,17.395,16,90,-393.901,56.8503,31.5126,10.9327,6.06012
29.5,0,0,0,0,0,0,260.602,96.1326,-26.1326,29.3982,27.2717,-15.4296,34.2346,-19.369,41.1974,-23.3084,-17,-0.296706,319.568,30.9664,39.0336,-29.5684,-38.9013,12.8494,-46.4976,15.3586,-54.0939,17.8677,16,90,-335.593,56.5731,32.0075,10.8794,6.15529
30,0,0,0,0,0,0,260.375,95.875,-25.875,29.6251,27.136,-15.667,34.0642,-19.667,40.9924,-23.667,-17,-0.296706,319.908,31.2259,38.7741,-29.9079,-38.7877,13.1884,-46.3618,15.7638,-53.936,18.3391,16,90,-292.399,56.2917,32.5,10.8253,6.25
30.5,0,0,0,0,0,0,260.15,95.6155,-25.6155,29.8498,26.9983,-15.9032,33.8913,-19.9635,40.7844,-24.0238,-17,-0.296706,320.245,31.4884,38.5116,-30.2451,-38.6711,13.5264,-46.2225,16.1677,-53.7739,18.8091,16,90,-259.126,56.0059,32.99,10.7704,6.34423
31,0,0,0,0,0,0,259.928,95.3541,-25.3541,30.0722,26.8585,-16.1382,33.7158,-20.2585,40.5732,-24.3788,-17,-0.296706,320.58,31.7538,38.2462,-30.5801,-38.5516,13.8634,-46.0796,16.5705,-53.6077,19.2776,16,90,-232.715,55.7159,33.4775,10.7146,6.43798
31.5,0,0,0,0,0,0,259.708,95.0907,-25.0907,30.2923,26.7166,-16.372,33.5377,-20.552,40.3589,-24.7319,-17,-0.296706,320.913,32.0221,37.9779,-30.9126,-38.4291,14.1992,-45.9333,16.972,-53.4374,19.7447,16,90,-211.249,55.4216,33.9624,10.658,6.53123
32,0,0,0,0,0,0,259.49,94.8254,-24.8254,30.5101,26.5727,-16.6045,33.3571,-20.8438,40.1415,-25.0832,-17,-0.296706,321.243,32.2933,37.7067,-31.2429,-38.3038,14.5341,-45.7834,17.3722,-53.2631,20.2103,16,1.#QNAN,-193.462,55.1231,34.4448,10.6006,6.62399
32.5,0,0,0,0,0,0,259.274,94.5582,-24.5582,30.7255,26.4268,-16.8357,33.174,-21.1341,39.9211,-25.4325,-17,-0.296706,321.571,32.5674,37.4326,-31.5707,-38.1755,14.8678,-45.6301,17.771,-53.0847,20.6743,16,90,-178.488,54.8204,34.9245,10.5424,6.71625
33,0,0,0,0,0,0,259.061,94.2891,-24.2891,30.9387,26.2789,-17.0657,32.9883,-21.4228,39.6976,-25.7799,-17,-0.296706,321.896,32.8443,37.1557,-31.8962,-38.0443,15.2003,-45.4733,18.1685,-52.9022,21.1367,16,1.#QNAN,-165.712,54.5136,35.4015,10.4834,6.80799
33.5,0,0,0,0,0,0,258.851,94.0182,-24.0182,31.1495,26.129,-17.2944,32.8001,-21.7099,39.4712,-26.1254,-17,-0.296706,322.219,33.1241,36.8759,-32.2192,-37.9102,15.5318,-45.313,18.5647,-52.7158,21.5976,16,90,-154.687,54.2026,35.8759,10.4236,6.89921
34,0,0,0,0,0,0,258.642,93.7455,-23.7455,31.3579,25.9771,-17.5218,32.6094,-21.9953,39.2417,-26.4688,-17,-0.296706,322.54,33.4066,36.5934,-32.5398,-37.7732,15.862,-45.1493,18.9594,-52.5253,22.0568,16,90,-145.079,53.8874,36.3475,10.363,6.98991
34.5,0,0,0,0,0,0,258.436,93.4709,-23.4709,31.5639,25.8232,-17.7478,32.4162,-22.279,39.0092,-26.8103,-17,-0.296706,322.858,33.692,36.308,-32.8579,-37.6333,16.191,-44.9821,19.3527,-52.3308,22.5143,16,90,-136.634,53.5682,36.8164,10.3016,7.08008
35,0,0,0,0,0,0,258.232,93.1946,-23.1946,31.7675,25.6673,-17.9724,32.2205,-22.5611,38.7737,-27.1497,-17,-0.296706,323.173,33.9801,36.0199,-33.1735,-37.4906,16.5188,-44.8115,19.7445,-52.1324,22.9701,16,90,-129.155,53.2449,37.2825,10.2394,7.16971
35.5,0,0,0,0,0,0,258.031,92.9165,-22.9165,31.9687,25.5095,-18.1957,32.0224,-22.8414,38.5353,-27.487,-17,-0.296706,323.487,34.271,35.729,-33.4865,-37.345,16.8453,-44.6375,20.1348,-51.9299,23.4242,16,1.#QNAN,-122.488,52.9175,37.7457,10.1764,7.25879
36,0,0,0,0,0,0,257.833,92.6366,-22.6366,32.1675,25.3497,-18.4177,31.8219,-23.1199,38.294,-27.8222,-17,-0.296706,323.797,34.5645,35.4355,-33.7971,-37.1966,17.1706,-44.4601,20.5235,-51.7235,23.8765,16,1.#QNAN,-116.509,52.5861,38.206,10.1127,7.34732
36.5,0,0,0,0,0,0,257.636,92.3551,-22.3551,32.3638,25.1881,-18.6382,31.6189,-23.3968,38.0498,-28.1553,-17,-0.296706,324.105,34.8608,35.1392,-34.105,-37.0454,17.4945,-44.2793,20.9107,-51.5132,24.3269,16,90,-111.119,52.2507,38.6635,10.0482,7.43528
37,0,0,0,0,0,0,257.442,92.0718,-22.0718,32.5576,25.0244,-18.8573,31.4135,-23.6718,37.8026,-28.4863,-17,-0.296706,324.41,35.1598,34.8402,-34.4103,-36.8913,17.8171,-44.0951,21.2963,-51.299,24.7755,16,1.#QNAN,-106.237,51.9113,39.118,9.98294,7.52269
37.5,0,0,0,0,0,0,257.251,91.7868,-21.7868,32.749,24.8589,-19.0749,31.2058,-23.945,37.5526,-28.8151,-17,-0.296706,324.713,35.4614,34.5386,-34.7131,-36.7344,18.1384,-43.9076,21.6803,-51.0808,25.2222,16,90,-101.795,51.568,39.5695,9.91692,7.60952
38,0,0,0,0,0,0,257.062,91.5002,-21.5002,32.9379,24.6915,-19.2911,30.9956,-24.2164,37.2997,-29.1417,-17,-0.296706,325.013,35.7656,34.2344,-35.0132,-36.5747,18.4583,-43.7167,22.0627,-50.8587,25.667,16,90,-97.7381,51.2207,40.018,9.85013,7.69577
38.5,0,0,0,0,0,0,256.876,91.212,-21.212,33.1243,24.5222,-19.5059,30.7831,-24.486,37.044,-29.4661,-17,-0.296706,325.311,36.0725,33.9275,-35.3106,-36.4122,18.7767,-43.5225,22.4433,-50.6328,26.1099,16,90,-94.0199,50.8695,40.4635,9.7826,7.78143
39,0,0,0,0,0,0,256.692,90.9221,-20.9221,33.3081,24.3511,-19.7191,30.5683,-24.7537,36.7854,-29.7883,-17,-0.296706,325.605,36.3819,33.6181,-35.6053,-36.247,19.0938,-43.325,22.8223,-50.4031,26.5507,16,90,-90.6008,50.5145,40.9058,9.71432,7.8665
39.5,0,0,0,0,0,0,256.511,90.6306,-20.6306,33.4894,24.1781,-19.9309,30.3511,-25.0195,36.5241,-30.1081,-17,-0.296706,325.897,36.6939,33.3061,-35.8973,-36.079,19.4094,-43.1242,23.1995,-50.1694,26.9896,16,1.#QNAN,-87.4474,50.1556,41.3451,9.64531,7.95098
40,0,0,0,0,0,0,256.332,90.3376,-20.3376,33.6682,24.0032,-20.1411,30.1316,-25.2834,36.2599,-30.4257,-17,-0.296706,326.187,37.0084,32.9916,-36.1866,-35.9082,19.7235,-42.9201,23.5749,-49.932,27.4264,16,90,-84.531,49.7929,41.7812,9.57556,8.03485
40.5,0,0,0,0,0,0,256.156,90.043,-20.043,33.8444,23.8266,-20.3498,29.9098,-25.5454,35.9931,-30.741,-17,-0.296706,326.473,37.3255,32.6745,-36.4731,-35.7348,20.0361,-42.7128,23.9486,-49.6908,27.861,16,90,-81.8269,49.4264,42.2141,9.50507,8.1181
41,0,0,0,0,0,0,255.982,89.7469,-19.7469,34.018,23.6481,-20.557,29.6857,-25.8054,35.7234,-31.0539,-17,-0.296706,326.757,37.645,32.355,-36.7569,-35.5586,20.3472,-42.5021,24.3204,-49.4457,28.2936,16,90,-79.3139,49.0561,42.6438,9.43387,8.20074
41.5,0,0,0,0,0,0,255.811,89.4493,-19.4493,34.189,23.4678,-20.7625,29.4594,-26.0635,35.4511,-31.3645,-17,-0.296706,327.038,37.967,32.033,-37.0378,-35.3796,20.6567,-42.2883,24.6904,-49.197,28.724,16,90,-76.9734,48.6821,43.0703,9.36195,8.28275
42,0,0,0,0,0,0,255.643,89.1502,-19.1502,34.3574,23.2857,-20.9665,29.2309,-26.3196,35.176,-31.6726,-17,-0.296706,327.316,38.2914,31.7086,-37.3159,-35.198,20.9646,-42.0712,25.0584,-48.9444,29.1522,16,1.#QNAN,-74.7892,48.3044,43.4935,9.28931,8.36413
42.5,0,0,0,0,0,0,255.477,88.8497,-18.8497,34.5232,23.1018,-21.1689,29.0001,-26.5737,34.8983,-31.9784,-17,-0.296706,327.591,38.6183,31.3817,-37.5912,-35.0137,21.271,-41.851,25.4246,-48.6882,29.5783,16,1.#QNAN,-72.7471,47.923,43.9134,9.21597,8.44488
43,0,0,0,0,0,0,255.314,88.5477,-18.5477,34.6864,22.9162,-21.3697,28.7671,-26.8257,34.6179,-32.2817,-17,-0.296706,327.864,38.9475,31.0525,-37.8636,-34.8268,21.5757,-41.6275,25.7889,-48.4282,30.002,16,1.#QNAN,-70.8345,47.538,44.3299,9.14192,8.52498
43.5,0,0,0,0,0,0,255.153,88.2443,-18.2443,34.8469,22.7289,-21.5689,28.5319,-27.0757,34.3349,-32.5826,-17,-0.296706,328.133,39.2791,30.7209,-38.1332,-34.6372,21.8788,-41.4009,26.1512,-48.1645,30.4235,16,90,-69.0405,47.1493,44.743,9.06718,8.60443
